#,Name of the Plant,Family,Common Name,link
1471,Pterospermum suberifolium Lam.,STERCULIACEAE,"Moochukund, Tada (Tel.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013939&column=szBarcode
1472,Pterospermum xylocarpum (Gaertn.) Oken,STERCULIACEAE,Lolgu (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013936&column=szBarcode
1473,Pueraria phaseoloides (Roxb.) Benth.,FABACEAE,Jermei-kyn-saw (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003312&column=szBarcode
1474,Pueraria tuberosa (Roxb. ex Willd.) DC.,FABACEAE,"Sural, Bilaikand",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003313&column=szBarcode
1475,Pulicaria crispa (Forssk.) Benth.,ASTERACEAE,Burhna,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009333&column=szBarcode
1476,Pulicaria dysenterica (L.) Gaeertn.,ASTERACEAE,Common fleabane (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009303&column=szBarcode
1477,Punica granatum L.,PUNICACEAE,"Anar, Dalim (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013527&column=szBarcode
1478,Quercus infectoria Oliv.,FAGACEAE,"Majuphal, Mazu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009744&column=szBarcode
1479,Quercus lamellosa Sm.,FAGACEAE,Falant (Nepali),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009746&column=szBarcode
1480,Quercus leucotrichophora A.Camus ex Bahadur,FAGACEAE,"Sila supari, Iri (Kashmir)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009745&column=szBarcode
1481,Quercus pachyphylla Kurz,FAGACEAE,Badaa Katus (Nepali),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009747&column=szBarcode
1482,Quisqualis indica L.,COMBRETACEAE,Rangoon ki bel,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009552&column=szBarcode
1483,Radermachera xylocarpa (Roxb.) K.Schum.,BIGNONIACEAE,Kharsing,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009117&column=szBarcode
1484,Randia cochinchinensis (Lour.) Merr.,RUBIACEAE,Dieng-iong-blei (Khasi Hills),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009388&column=szBarcode
1485,Randia longiflora Lam.,RUBIACEAE,Pulikaint (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009391&column=szBarcode
1486,Randia tomentosa Hook.f.,RUBIACEAE,Mainphal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009387&column=szBarcode
1487,Ranunculus aquatilis L.,RANUNCULACEAE,Water-Crowfoot (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013927&column=szBarcode
1488,Ranunculus arvensis L.,RANUNCULACEAE,Chambul (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013921&column=szBarcode
1489,Ranunculus cantoniensis DC.,RANUNCULACEAE,Chinese Buttercup (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013923&column=szBarcode
1490,Ranunculus lingua L.,RANUNCULACEAE,Great Spearwort (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013926&column=szBarcode
1491,Ranunculus muricatus L.,RANUNCULACEAE,Rough-fruited Buttercup (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013922&column=szBarcode
1492,Ranunculus sceleratus L.,RANUNCULACEAE,Jaldhania,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013924&column=szBarcode
1493,Raphanus sativus L.,BRASSICACEAE,"Muli, Muri",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013856&column=szBarcode
1494,Rauvolfia sarpentina (L.) Benth. ex Kurz,APOCYNACEAE,"Chandrabhaga, Chota chand",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009464&column=szBarcode
1495,Rauvolfia tetraphylla L.,APOCYNACEAE,Barachandrika,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009465&column=szBarcode
1496,Reinwardtia indica Dumort.,LINACEAE,Basanthi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013821&column=szBarcode
1497,Reissantia indica (Willd.) Halle,HIPPOCRATEACEAE,Atari-lata (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003475&column=szBarcode
1498,Remusatia vivipara (Roxb.) Schott,ARACEAE,Rukhalu,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000002986&column=szBarcode
1499,Reseda odorata L.,RESEDACEAE,Mignonette (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013853&column=szBarcode
1500,Rhamnus nepalensis (Wall.) M.A.Lawson,RHAMNACEAE,Biringa (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003431&column=szBarcode
1501,Rhamnus purpureus Edgew.,RHAMNACEAE,Purple Buckthorn (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003433&column=szBarcode
1502,Rhamnus triquetra Wall. ex Roxb.,RHAMNACEAE,"Gudlei, Fagora (Punjab)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003432&column=szBarcode
1503,Rhamnus virgatus Roxb.,RHAMNACEAE,"Chato, Chadua",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003435&column=szBarcode
1504,Rhamnus wightii Wight & Arn.,RHAMNACEAE,Wight's Buckthorn (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003434&column=szBarcode
1505,Rheum emodi Wall. ex Meissn.,POLYGONACEAE,Hindirevandchini,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013428&column=szBarcode
1506,Rheum spiciforme Royle,POLYGONACEAE,Archu (Garhwal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013426&column=szBarcode
1507,Rheum webbianum Royle,POLYGONACEAE,Archu (Garhwal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013429&column=szBarcode
1508,Rhinacanthus nasuta (L.) Kurz,ACANTHACEAE,Palak juhi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013317&column=szBarcode
1509,Rhizophora mucronata Lam.,RHIZOPHORACEAE,"Kamo, Bhora (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009441&column=szBarcode
1510,Rhodamnia trinervia Blume,MYRTACEAE,Brown Mallet-Wood (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009649&column=szBarcode
1511,Rhododendron anthopogon D.Don,ERICACEAE,Nichni (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013549&column=szBarcode
1512,Rhododendron arboreum Sm.,ERICACEAE,Burans,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013545&column=szBarcode
1513,Rhododendron campanulatum D.Don,ERICACEAE,Cherailu,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013543&column=szBarcode
1514,Rhododendron lepidotum Wall. ex G.Don,ERICACEAE,Talisfur (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013542&column=szBarcode
1515,Rhododendron setosum D.Don,ERICACEAE,Tsalluo (Bhutan),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013539&column=szBarcode
1516,Rhodomyrtus tomentosa Wight,MYRTACEAE,Kattupera (Malayalam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009547&column=szBarcode
1517,Rhus coriaria L.,ANACARDIACEAE,Sicilian Sumac (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003372&column=szBarcode
1518,Rhus hookeri K.C.Sahni & Bahadur,ANACARDIACEAE,Momphulai (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003446&column=szBarcode
1519,Rhus javanica L.,ANACARDIACEAE,Nutgall tree (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003450&column=szBarcode
1520,Rhus parviflora Roxb. ex DC.,ANACARDIACEAE,"Tung, Raitung",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003449&column=szBarcode
1521,Rhus punjabensis J.L.Stew. ex Brand.,ANACARDIACEAE,Dor (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003447&column=szBarcode
1522,Rhus succedanea L.,ANACARDIACEAE,Kakra-singi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003451&column=szBarcode
1523,Rhynchosia minima (L.) DC.,FABACEAE,Daktaranghevda (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003303&column=szBarcode
1524,Rhynchostylis retusa (L.) Blume,ORCHIDACEAE,Draupadi mala,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000002973&column=szBarcode
1525,Ribes alpestre Wall. ex Decne.,GROSSULARIACEAE,Amlanch (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013523&column=szBarcode
1526,Ribes orientalis Desf.,GROSSULARIACEAE,Askuta (Ladakh),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013524&column=szBarcode
1527,Ricinus communis L.,EUPHORBIACEAE,Erandi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008776&column=szBarcode
1528,Rivea ornata (Roxb.) Choisy.,CONVOLVULACEAE,Phanji (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009773&column=szBarcode
1529,Rorippa indica (L.) Hiern,BRASSICACEAE,Chamsuru,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013873&column=szBarcode
1530,Rorippa islandica (Oeder) Borbás,BRASSICACEAE,Yellow marshcress (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013874&column=szBarcode
1531,Rorippa nasturtium-aquaticum (L.) Hayek,BRASSICACEAE,"Chhuch, Jal-indushoor",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013875&column=szBarcode
1532,Rosa banksiae R.Br.,ROSACEAE,Bank's Rose,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009603&column=szBarcode
1533,Rosa brunonii Lindl.,ROSACEAE,"Kuji, Kunja",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009624&column=szBarcode
1534,Rosa centifolia L.,ROSACEAE,Gulab,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009626&column=szBarcode
1535,Rosa damascena Mill.,ROSACEAE,Fasli Gulab,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009622&column=szBarcode
1536,Rosa multiflora Thunb.,ROSACEAE,Multiflora Rose (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009621&column=szBarcode
1537,Roscoea purpurea Sm.,ZINGIBERACEAE,Rasagaree (Nepali),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003026&column=szBarcode
1538,Rosmarinus officinalis L.,LAMIACEAE,Rusmari,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013232&column=szBarcode
1539,Rotula aquatica Lour.,BORAGINACEAE,Sherni (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009145&column=szBarcode
1540,Roylea cineria (D.Don) Baill.,LAMIACEAE,Patkarru,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013350&column=szBarcode
1541,Rubia cordifolia L.,RUBIACEAE,"Manjit, Manjitha",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009591&column=szBarcode
1542,Rubia tinctorum L.,RUBIACEAE,Bacho (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009375&column=szBarcode
1543,Rubus moluccanus L.,ROSACEAE,Katsoi (Kumaun),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009617&column=szBarcode
1544,Rumex acetosa L.,POLYGONACEAE,Khatta palak,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013408&column=szBarcode
1545,Rumex acetosella L.,POLYGONACEAE,Chuk,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013400&column=szBarcode
1546,Rumex crispus L.,POLYGONACEAE,Yellow Dock (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013403&column=szBarcode
1547,Rumex dentatus L.,POLYGONACEAE,"Ambavah, Amrule",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013412&column=szBarcode
1548,Rumex maritimus L.,POLYGONACEAE,"Jub-palum, Jungli palak",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013414&column=szBarcode
1549,Rumex nepalensis Spreng.,POLYGONACEAE,Pahari palang,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013409&column=szBarcode
1550,Rumex scutatus L.,POLYGONACEAE,Ambavati,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013401&column=szBarcode
1551,Rungia parviflora (Retz.) Nees,ACANTHACEAE,Moto khadsalyo (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013313&column=szBarcode
1552,Rungia repens (L.) Nees,ACANTHACEAE,Kharmor,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013314&column=szBarcode
1553,Ruta graveolens L.,RUTACEAE,Garden Rue (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009845&column=szBarcode
1554,Saccharum bengalense Retz.,POACEAE,Kans,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003050&column=szBarcode
1555,Saccharum spontaneum L.,POACEAE,"Kans, Kas",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003047&column=szBarcode
1556,Sageraea laurifolia (Grah.) Blatter,ANNONACEAE,"Sageree, Harkinjal (Mar.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009914&column=szBarcode
1557,Sagittaria sagittifolia L.,ALISMATACEAE,"Chhoto-kut, Muya Muya (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000002979&column=szBarcode
1558,Salacia chinensis L.,CELASTRACEAE,"Saptrangi, Dimal (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003401&column=szBarcode
1559,Salacia oblonga Wall.,CELASTRACEAE,Chundan (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003403&column=szBarcode
1560,Salacia reticulata Wight,CELASTRACEAE,"Saptarangi, Etanayakam (Sans.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003399&column=szBarcode
1561,Salicornia brachiata Roxb.,CHENOPODIACEAE,Muchul (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013372&column=szBarcode
1562,Salix acmophylla Boiss.,SALICACEAE,"Bada, Bed",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009101&column=szBarcode
1563,Salix babylonica L.,SALICACEAE,Attuppalai (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009100&column=szBarcode
1564,Salix caprea L.,SALICACEAE,Bedmushk,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009099&column=szBarcode
1565,Salix tetrasperma Roxb.,SALICACEAE,"Bod, Bent",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009102&column=szBarcode
1566,Salsola baryosma (R.& S.) Dandy,CHENOPODIACEAE,Ellakura (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013378&column=szBarcode
1567,Salsola kali L.,CHENOPODIACEAE,Sajjibuti (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013379&column=szBarcode
1568,Salvadora oleoides Decne.,SALVADORACEAE,"Bahapilu, Chootapilu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009528&column=szBarcode
1569,Salvadora persica L.,SALVADORACEAE,"Jhak, Kharjal",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009530&column=szBarcode
1570,Salvia aegyptica L.,LAMIACEAE,Tukham malanga (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013241&column=szBarcode
1571,Salvia moorcroftiana Wall. ex Benth.,LAMIACEAE,"Thuth, Kali jarri (Punjab)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013245&column=szBarcode
1572,Salvia officinalis L.,LAMIACEAE,Salvia sefakuss,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013237&column=szBarcode
1573,Salvia plebeia R.Br.,LAMIACEAE,Kaka-buradi (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013243&column=szBarcode
1574,Samadera indica Gaertn.,SIMAROUBACEAE,"Nibam, Mepa, Karinjottei (Tam.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009850&column=szBarcode
1575,Sambucus nigra L.,CAPRIFOLIACEAE,European or Black Elder (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009654&column=szBarcode
1576,Sambucus wightiana Wall. ex Wight & Arn.,CAPRIFOLIACEAE,Richhkas (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009537&column=szBarcode
1577,Sandoricum indicum Cav.,MELIACEAE,Sayai (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009859&column=szBarcode
1578,Santaloides minus Schellenb.,CONNARACEAE,"Kalavidhara, Vidhara",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003436&column=szBarcode
1579,Santalum album L.,SANTALACEAE,"Safed chandan, Sandal",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013362&column=szBarcode
1580,Sapindus mukorossi Gaertn.,SAPINDACEAE,"Ritha, Reetha",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003396&column=szBarcode
1581,Sapindus trifoliatus L.,SAPINDACEAE,"Reetha, Ritha",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003398&column=szBarcode
1582,Sapium indicum Willd.,EUPHORBIACEAE,Hurna,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008780&column=szBarcode
1583,Sapium insigne (Royle) Benth.,EUPHORBIACEAE,"Khinna, Khirun",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008784&column=szBarcode
1584,Sapium sebiferum (L.) Roxb.,EUPHORBIACEAE,"Pippalyang, Vilayati-shisham",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008782&column=szBarcode
1585,Saprosma ternatum Benth. & Hook.f.,RUBIACEAE,Bhedeli (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009594&column=szBarcode
1586,Saraca indica L.,CAESALPINIACEAE,"Asok, Ashoka",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003291&column=szBarcode
1587,Sarcococca saligna Muell.Arg.,EUPHORBIACEAE,Sukat sing (Kumaun),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008788&column=szBarcode
1588,Sarcostemma acidum (Roxb.) Voigt.,ASCLEPIADACEAE,Somlata,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009472&column=szBarcode
1589,Sarcostemma brunonianum Wight & Arn.,ASCLEPIADACEAE,Muroakiriya (Sinhalese),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009473&column=szBarcode
1590,Sarcostemma intermedium Decne.,ASCLEPIADACEAE,Phok (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009470&column=szBarcode
1591,Sarcostigma kleinii Wight & Arn.,ICACINACEAE,Ingudi (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013184&column=szBarcode
1592,Satureja hortensis L.,LAMIACEAE,Summer Savory (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008715&column=szBarcode
1593,Sauromatum venosum (Aiton) Kunth,ARACEAE,Nurki (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000002991&column=szBarcode
1594,Sauropus androgynus (L.) Merr.,EUPHORBIACEAE,Thavasai murungai (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008795&column=szBarcode
1595,Sauropus quadrangularis (Willd.) Müll.Arg.,EUPHORBIACEAE,Tellavusirika (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008797&column=szBarcode
1596,Saussurea affinis Spreng. ex DC.,ASTERACEAE,Gangamula (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009350&column=szBarcode
1597,Saussurea auriculata (Spreng. ex DC.) Sch.Bip.,ASTERACEAE,Kut,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009349&column=szBarcode
1598,Saussurea heteromalla (D.Don) Hand.-Mazz.,ASTERACEAE,Batula (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009353&column=szBarcode
1599,Saussurea lappa (Decne.) Sch.Bip.,ASTERACEAE,"Kut, Kur",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009352&column=szBarcode
1600,Saussurea obvallata (DC.) Sch.Bip.,ASTERACEAE,Kanwal (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009351&column=szBarcode
1601,Scaevola taccada (Gaertn.) Roxb.,GOODENIACEAE,Bhadrak (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013194&column=szBarcode
1602,Schima wallichii (DC.) Korth.,THEACEAE,"Chilauni, Kanak",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013817&column=szBarcode
1603,Schleichera oleosa (Lour.) Oken,SAPINDACEAE,Kusum,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003394&column=szBarcode
1604,Schrebera swietenioides Roxb.,OLEACEAE,"Moka, Banpalas",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009573&column=szBarcode
1605,Schweinfurthia papilionacea (Burm.f.) Boiss.,SCROPHULARIACEAE,"Nepal nimb, Sanipat",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013188&column=szBarcode
1606,Scilla hyacinthina (Roth) Macbridge,LILIACEAE,Safedi-khus,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000002957&column=szBarcode
1607,Scindapsus officinalis (Roxb.) Schott,ARACEAE,"Gajapipal, Pippal-jhanca",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000002985&column=szBarcode
1608,Scirpus articulatus L.,CYPERACEAE,Chichora,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003236&column=szBarcode
1609,Scirpus grossus L.f.,CYPERACEAE,"Kasuru, Kesur",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003232&column=szBarcode
1610,Scirpus lacustris L.,CYPERACEAE,Great Bulrush (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003235&column=szBarcode
1611,Scirpus maritimus L.,CYPERACEAE,Saltmarsh buirush (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003234&column=szBarcode
1612,Scleria levis Retz.,CYPERACEAE,Nutrushes (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003230&column=szBarcode
1613,Scleria lithosperma (L.) Sw.,CYPERACEAE,Nakkupullu (Malayalam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003231&column=szBarcode
1614,Scoparia dulcis L.,SCROPHULARIACEAE,Jastimadhu (Santal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008761&column=szBarcode
1615,Scutellaria discolor Wall. ex Benth.,LAMIACEAE,Daampaate (Nepali),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013215&column=szBarcode
1616,Scutellaria galericulata L.,LAMIACEAE,Common Skullcap (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013214&column=szBarcode
1617,Sebastiania chamaelea(L.) Muell.Arg.,EUPHORBIACEAE,Bhuierendi (Konkan),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008786&column=szBarcode
1618,Secamone emetica (Retz.) R.Br. ex Sm.,EUPHORBIACEAE,Shadaburi (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009468&column=szBarcode
1619,Securinega leucopyrus (Willd.) Müll.Arg.,EUPHORBIACEAE,"Hartho, Ainta",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008818&column=szBarcode
1620,Securinega virosa (Roxb. ex Willd.) Baill.,EUPHORBIACEAE,"Dalme, Patala",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008820&column=szBarcode
1621,Sedum multicaule Wall. ex Lindl.,CRASSULACEAE,Multi-Stem Sedum (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009440&column=szBarcode
1622,Semecarpus anacardium L.f.,ANACARDIACEAE,"Bhela, Bhilawa",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003443&column=szBarcode
1623,Senecio bhutanicus N.P.Balakr.,ASTERACEAE,Lemon Bean Bush (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009343&column=szBarcode
1624,Senecio chrysanthemoides DC.,ASTERACEAE,Cheerful Senecio (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009346&column=szBarcode
1625,Senecio jacquemontianus (Decne.) Benth. ex Hook.f.,ASTERACEAE,Poshkar (Kashmir),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009342&column=szBarcode
1626,Senecio tenuifolius Burm.f.,ASTERACEAE,Katimera (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009341&column=szBarcode
1627,Senecio vulgaris L.,ASTERACEAE,Groundsel (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009294&column=szBarcode
1628,Sesamum orientale L.,PEDALIACEAE,Til,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009086&column=szBarcode
1629,Sesbania bispinosa (Jacq.) W.Wight,FABACEAE,Ikkada,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003343&column=szBarcode
1630,Sesbania grandiflora (L.) Poir.,FABACEAE,"Bak, Agasti",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003342&column=szBarcode
1631,Sesbania sesban (L.) Merr.,FABACEAE,"Jainti, Jait",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003344&column=szBarcode
1632,Seseli diffusum (Roxb. ex Sm.) Santapau & Wagh,APIACEAE,Vanayamani (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013517&column=szBarcode
1633,Seseli sibiricum Benth. ex C.B.Clarke,APIACEAE,Bhootakeshi (J &K),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013516&column=szBarcode
