#,Name of the Plant,Family,Common Name,link
74,Alhagi pseudoalhagi (Bieb.) Desv.,FABACEAE,"Bharbharra, Jawasa",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003686&column=szBarcode
75,Alhagi pseudoalhagi (Bieb.) Desv.,FABACEAE,"Bharbharra, Jawasa",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003688&column=szBarcode
76,Allamanda cathartica L.,APOCYNACEAE,Harkakra (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009265%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&column=szBarcode
77,Allium cepa L.,LILIACEAE,Piyaz,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003095&column=szBarcode
78,Allium macleanii Baker,LILIACEAE,Salabmisri,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003093&column=szBarcode
79,Alnus nepalensis D.Don,BETULACEAE,Utis,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008926&column=szBarcode
80,Alnus nitida Endl.,BETULACEAE,Utis,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008927&column=szBarcode
81,Alocasia macrorrhizos (L.) G.Don,ARACEAE,Boro mankachu (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003214&column=szBarcode
82,Aloe vera (L.) Burm.f.,LILIACEAE,Ghee-kunvar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003086&column=szBarcode
83,Aloysia triphylla (L'Herit) Britton,VERBENACEAE,Aloysia triphylla (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013195&column=szBarcode
84,Alpinia galanga (L.) Willd.,ZINGIBERACEAE,"Kulanjan, Barakulanjan",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003138&column=szBarcode
85,Alpinia nigra (Gaertn.) B.L.Burtt,ZINGIBERACEAE,Gong (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003140&column=szBarcode
